omw-x-aat, omw
aau, aau
abq, abq
abp, abp
ab, abk
abn, abn
ace, ace
aca, aca
acn, acn
acr, acr
ach, ach
act, act
acu, acu
fub, fub
ade, ade
adh, adh
adi, adi
adj, adj
ady, ady
azr, azr
adz, adz
awi, awi
aa, aar
af, afr
agd, agd
agq, agq
agx, agx
agr, agr
msm, msm
agn, agn
aha, aha
ain, ain
ajg, ajg
aji, aji
cpc, cpc
ak, aka
knj, knj
ckk, ckk
ake, ake
ahk, ahk
bss, bss
akz, akz
mim, mim
amp, amp
alj, alj
sq, sqi
gah, gah
alq, alq
zaq, zaq
alp, alp
alz, alz
alr, alr
aly, aly
amm, amm
amc, amc
amn, amn
amr, amr
zpo, zpo
qva, qva
abt, abt
abt-x-maprik, abt
abt-x-wosera, abt
aey, aey
am, amh
am-Latn, amh
ami, ami
mbz, mbz
omq-x-amuzgo, omq
qu-x-ancash, que
grc, grc
hbo, hbo
hbo-x-consonants, hbo
aty, aty
aby, aby
agm, agm
akh, akh
njm, njm
yli, yli
anp, anp
ang, ang
agg, agg
aoi, aoi
boj, boj
aak, aak
amx, amx
xmv, xmv
cko, cko
aui, aui
njo, njo
apa, apa
apy, apy
apn, apn
apu, apu
arl, arl
ar, ara
ar-Latn-x-chat, ara
an, arg
akr, akr
aaf, aaf
aro, aro
arp, arp
auf, auf
aae, aae
mwc, mwc
qxu, qxu
arh, arh
aai, aai
hy, hye
hy-Latn, hye
rup, rup
apr, apr
aia, aia
frp, frp
msy, msy
aat, aat
cni, cni
prq, prq
cpu, cpu
cjo, cjo
as, asm
asb, asb
ast, ast
atd, atd
mib, mib
avt, avt
aut, aut
auv, auv
av, ava
avu, avu
awb, awb
kwi, kwi
awa, awa
agu, agu
awx, awx
azo, azo
auy, auy
auj, auj
ahb, ahb
quy, quy
vmy, vmy
ay, aym
az, aze
az-Arab, aze
az-Cyrl, aze
mbf, mbf
bcr, bcr
bfq, bfq
bfq-Taml, bfq
bfq-Latn, bfq
ksf, ksf
bfd, bfd
bdq, bdq
bkc, bkc
bkq, bkq
bqz, bqz
bqi, bqi
bkh, bkh
bjw, bjw
blw, blw
ble, ble
blz, blz
ban, ban
rmn, rmn
rmn-Cyrl, rmn
bal, bal
bal-Latn, bal
bft-Latn, bft
dmn-x-bamana, dmn
bmo, bmo
ptu, ptu
bm, bam
bqt, bqt
bax, bax
bcw, bcw
bqj, bqj
mfb, mfb
bgj, bgj
bjn, bjn
bno, bno
jv-x-bms, jav
bci, bci
bbb, bbb
bsn, bsn
bcj, bcj
mlp, mlp
bfa, bfa
bch, bch
bba, bba
byr, byr
bas, bas
ba, bak
eu, eus
ifb, ifb
btz, btz
btd, btd
btx, btx
btm, btm
bts, bts
bbc-Latn, bbc
bvz, bvz
bar, bar
bgr, bgr
bda, bda
bxj, bxj
bjv, bjv
be, bel
be-Latn, bel
be-tarask, bel
bzj, bzj
blc, blc
bem, bem
bef, bef
bng, bng
bn, ben
bn-IN, ben
bn-Latn, ben
bkl, bkl
bom, bom
bew, bew
btb, btb
bho, bho
big, big
bth, bth
bik, bik
bh, bih
bh-Latn, bih
bhl, bhl
bim, bim
bon, bon
bkd, bkd
bjr, bjr
bib, bib
bpy, bpy
bi, bis
phi-x-blaan, phi
bla, bla
blr, blr
mux, mux
brx, brx
bqc, bqc
bus, bus
bnp, bnp
smk, smk
gn-BO, grn
bnc, bnc
boa, boa
gax, gax
kvn, kvn
ksr, ksr
bs, bos
bs-Cyrl, bos
sbl, sbl
brh-Latn, brh
pt-BR, por
br, bre
br-x-falhuneg, bre
br-x-unified, bre
bzd, bzd
bsb, bsb
box, box
buk, buk
bgt, bgt
bug, bug
sab, sab
bku, bku
ape, ape
bg, bul
bg-Latn, bul
rmn-BG, rmn
bwu, bwu
bum, bum
aon, aon
bdd, bdd
bvr, bvr
bxn, bxn
bua, bua
bsk-Latn, bsk
bqp, bqp
buc, buc
bhs, bhs
tte, tte
cjp, cjp
miu, miu
cbv, cbv
qvc, qvc
zad, zad
cak, cak
qud, qud
clu, clu
mcu, mcu
kbh, kbh
cbu, cbu
ram, ram
es-x-cant, spa
kaq, kaq
cps, cps
cot, cot
cbc, cbc
car, car
hns, hns
jvn, jvn
crx, crx
cbr, cbr
cbs, cbs
dgc, dgc
ca, cat
cav, cav
cay, cay
qxr, qxr
ceb, ceb
tzm-Tfng, tzm
ayr, ayr
bcl, bcl
dtp, dtp
nch, nch
knc, knc
ckb, ckb
li-x-central, lim
pse, pse
mvc, mvc
maz, maz
nhn, nhn
ryu, ryu
pbs, pbs
pst-Latn, pst
ncx, ncx
ess-Cyrl, ess
tar, tar
tuf, tuf
esu, esu
cme, cme
cbi, cbi
bnt-x-chaga, bnt
ceg, ceg
ccc, ccc
ch, cha
tzc, tzc
omq-x-chatino, omq
cbk, cbk
cbt, cbt
mih, mih
ce, che
tze, tze
chr, chr
chr-Latn, chr
chy, chy
hne, hne
ny, nya
zpv, zpv
cic, cic
dig, dig
dug, dug
clc, clc
qug, qug
csa, csa
zh, zho
zh-Latn, zho
zh-Hant, zho
chn, chn
cap, cap
maq, maq
cax, cax
qxa, qxa
zpc, zpc
cho, cho
cjk, cjk
ctu, ctu
cce, cce
cjv, cjv
cac, cac
ckt, ckt
ncu, ncu
chk, chk
cv, chv
chw, chw
cao, cao
caa, caa
awc, awc
cim, cim
ccn-x-circassian, ccn
xcl, xcl
xcl-Latn, xcl
kzj, kzj
zca, zca
mco, mco
miz, miz
con, con
cof, cof
cco, cco
com, com
kw-kkcor, cor
coo, coo
